NAME,VERSION,TYPE
Simple Launcher,1.1.0.14,binary
adduser,3.152,deb
annotated-types,0.7.0,python
anyio,4.5.2,python
apt,3.0.3,deb
apt-transport-https,3.0.3,deb
autocommand,2.2.2,python
azure-common,1.1.28,python
azure-communication-email,1.0.0,python
azure-core,1.32.0,python
azure-identity,1.19.0,python
azure-mgmt-core,1.5.0,python
azure-mgmt-datafactory,9.1.0,python
azure-storage-blob,12.24.1,python
backports-tarfile,1.2.0,python
base-files,13.8+deb13u1,deb
base-passwd,3.6.7,deb
bash,5.2.37,binary
bash,5.2.37-2+b5,deb
bash-completion,1:2.16.0-7,deb
bcrypt,3.2.2,python
blinker,1.9.0,python
bsdutils,1:2.41-5,deb
ca-certificates,20250419,deb
cachelib,0.13.0,python
certifi,2025.1.31,python
cffi,1.17.1,python
charset-normalizer,3.4.1,python
cli,UNKNOWN,binary
cli-32,UNKNOWN,binary
cli-64,UNKNOWN,binary
cli-arm64,UNKNOWN,binary
click,8.1.8,python
colorama,0.4.6,python
coreutils,9.7-3,deb
coverage,7.6.1,python
coverage-badge,1.1.2,python
cryptography,44.0.0,python
curl,8.14.1,binary
curl,8.14.1-2,deb
dash,0.5.12-12,deb
debconf,1.5.91,deb
debian-archive-keyring,2025.1,deb
debianutils,5.23.2,deb
diffutils,1:3.10-4,deb
dirmngr,2.4.7-21+b3,deb
dpkg,1.22.21,deb
exceptiongroup,1.2.2,python
fastapi,0.115.8,python
findutils,4.10.0-3,deb
gcc-14,14.2.0-19,deb
gcc-14-base,14.2.0-19,deb
gnupg,2.4.7-21,deb
gnupg-l10n,2.4.7-21,deb
gnupg-utils,2.4.7-21+b3,deb
gpg,2.4.7-21+b3,deb
gpg-agent,2.4.7-21+b3,deb
gpg-wks-client,2.4.7-21+b3,deb
gpgconf,2.4.7-21+b3,deb
gpgsm,2.4.7-21+b3,deb
gpgv,2.4.7-21+b3,deb
greenlet,3.1.1,python
grep,3.11-4,deb
gui,UNKNOWN,binary
gui-32,UNKNOWN,binary
gui-64,UNKNOWN,binary
gui-arm64,UNKNOWN,binary
gzip,1.13,binary
gzip,1.13-1,deb
h11,0.14.0,python
hostname,3.25,deb
httpcore,1.0.7,python
httpx,0.28.1,python
idna,3.10,python
importlib-metadata,8.0.0,python
inflect,7.3.1,python
iniconfig,2.1.0,python
init-system-helpers,1.69~deb13u1,deb
isodate,0.7.2,python
jaraco-collections,5.1.0,python
jaraco-context,5.3.0,python
jaraco-functools,4.0.1,python
jaraco-text,3.12.1,python
jinja2,3.1.6,python
krb5-locales,1.21.3-5,deb
libacl1,2.3.2-2+b1,deb
libapt-pkg7.0,3.0.3,deb
libassuan9,3.0.2-2,deb
libattr1,1:2.5.2-3,deb
libaudit-common,1:4.0.2-2,deb
libaudit1,1:4.0.2-2+b2,deb
libblkid1,2.41-5,deb
libbrotli1,1.1.0-2+b7,deb
libbsd0,0.12.2-2,deb
libbz2-1.0,1.0.8-6,deb
libc-bin,2.41-12,deb
libc6,2.41-12,deb
libcap-ng0,0.8.5-4+b1,deb
libcap2,1:2.75-10+b1,deb
libcom-err2,1.47.2-3+b3,deb
libcrypt1,1:4.4.38-1,deb
libcurl4t64,8.14.1-2,deb
libdb5.3t64,5.3.28+dfsg2-9,deb
libdebconfclient0,0.280,deb
libffi8,3.4.8-2,deb
libgcc-s1,14.2.0-19,deb
libgcrypt20,1.11.0-7,deb
libgdbm6t64,1.24-2,deb
libgmp10,2:6.3.0+dfsg-3,deb
libgnutls30t64,3.8.9-3,deb
libgpg-error-l10n,1.51-4,deb
libgpg-error0,1.51-4,deb
libgssapi-krb5-2,1.21.3-5,deb
libhogweed6t64,3.10.1-1,deb
